Price,Close,High,Low,Open,Volume
Ticker,CLX,CLX,CLX,CLX,CLX
Date,,,,,
2018-01-02,117.13887023925781,120.28163950935281,117.03383799895653,120.20891824344469,868000
2018-01-03,115.87847900390625,117.63165385062275,115.64419062187743,117.63165385062275,1033300
2018-01-04,117.70440673828125,118.69813256005706,116.34711156400371,116.94496938606653,766900
2018-01-05,117.73668670654297,117.90635318154293,116.99341120140797,117.76092301329658,658900
2018-01-08,118.3103256225586,118.34263659378371,117.15500807570488,117.30851292640884,646900
2018-01-09,118.08412170410156,118.58502193015222,117.72056469075099,118.35880812950177,540100
2018-01-10,116.68643951416016,117.63977975833339,114.8605672874944,117.51051119510164,726800
2018-01-11,114.71516418457031,116.80764846969038,114.60205725909707,116.4198550577436,1192200
2018-01-12,113.88301086425781,114.72323192741251,113.30938928041975,114.698995611111,1101300
2018-01-16,115.05448150634766,115.86239161482102,114.06074319695986,114.27888237801206,875100
2018-01-17,116.59757995605469,117.28429607613688,115.07061818425935,115.49882183619462,861000
2018-01-18,115.64424896240234,116.68644754684748,115.15142331791785,116.64606190482003,586600
2018-01-19,116.2259521484375,117.01770062648131,115.73312647452924,116.04821093307844,789700
2018-01-22,116.72685241699219,116.79148670687837,115.38573096697712,116.15324312681393,733800
2018-01-23,116.62935638427734,117.14130790456255,115.84922147743634,116.74312476654336,727500
2018-01-24,115.59729766845703,117.01940853608303,114.92280931183282,116.66184724825115,716100
2018-01-25,118.75028991699219,118.78278984284118,115.08530018660844,115.65415428742817,1250500
2018-01-26,115.9142074584961,118.05956246586733,115.69479262824765,117.83202575295076,1225800
2018-01-29,114.54899597167969,116.14987496761805,113.54944633485238,115.71917955655788,1208300
2018-01-30,115.1990966796875,115.84920695391617,114.18330325114962,114.58149873907244,1030700
2018-01-31,115.14219665527344,116.51555109174302,114.53272071481555,115.33722102033532,1818600
2018-02-01,114.03702545166016,115.94670949836802,114.03702545166016,115.05281879559661,1658800
2018-02-02,106.38200378417969,109.90883514866799,106.26823543048073,109.64066422927318,3511100
2018-02-05,103.20460510253906,106.9996075974649,103.09083674251336,105.80503361728445,2431600
2018-02-06,106.15447998046875,106.56079735018676,101.57934242950097,102.08317819991926,2732100
2018-02-07,103.8709716796875,106.37388195396439,103.74907522933796,106.30074780370127,1857200
2018-02-08,103.82219696044922,105.3255697120552,102.47322056501355,103.51339184828882,1831700
2018-02-09,104.66736602783203,105.29309830360128,101.56310130103925,104.48046349344703,1729600
2018-02-12,103.97661590576172,105.98382477123515,103.20461535746173,104.69173846830779,1166600
2018-02-13,104.44795989990234,104.68363095847477,103.21275761303701,103.55406277389179,1109700
2018-02-14,104.66736602783203,105.29309830360128,103.27775504654608,104.2691705069201,1019500
2018-02-15,106.4795150756836,106.50389312271216,103.93597090383685,105.04928258411948,844800
2018-02-16,107.02397155761719,107.94225259968601,105.80501968930761,106.15445900612923,1088700
2018-02-20,104.65108489990234,106.8045616732675,104.3666578242563,106.65017151201242,1024500
2018-02-21,102.62763214111328,105.50435958670852,102.57074796280675,104.70798109041716,934500
2018-02-22,103.44841766357422,103.94412541221448,102.72517315160634,102.83894153327016,880400
2018-02-23,105.17928314208984,105.17928314208984,103.22083711380958,103.97658748818642,895900
2018-02-26,106.87774658203125,106.92650269254383,105.31748904650539,105.56940388403683,983100
2018-02-27,105.7968978881836,107.78785012797786,105.46371473463469,106.80455683087052,1119900
2018-02-28,104.89488220214844,106.45513924354094,104.68360165689825,106.32511472346971,1408100
2018-03-01,105.45559692382812,107.03211005287636,104.77297442683872,104.89487705836045,1371600
2018-03-02,106.40640258789062,106.56892706776094,104.78113298954148,104.8461452614542,810500
2018-03-05,108.02351379394531,108.20229440184976,106.02443957802508,106.41450072262558,1049500
2018-03-06,107.53594207763672,107.9991373688377,106.21134366277253,107.96663743955814,696400
2018-03-07,106.0894546508789,107.48718722259626,105.72377154312252,107.07273562062787,834300
2018-03-08,108.06414794921875,108.15353825312499,106.00818335919537,106.20322013130541,620800
2018-03-09,106.91838073730469,108.34049182550436,106.82085611651881,108.25110148968167,821500
2018-03-12,105.94318389892578,107.80412434144625,105.58562264011023,106.95085541014944,972500
2018-03-13,106.60955047607422,107.07274581672168,106.0244524880193,106.36575758108106,786400
2018-03-14,104.48043060302734,106.83706585067708,104.40728406927438,106.68266330138196,720200
2018-03-15,103.3183822631836,105.25245694818541,102.58700974364136,104.41544414245253,1236300
2018-03-16,104.41544342041016,104.61860210777196,103.4077718671596,103.4077718671596,1454900
2018-03-19,104.43980407714844,105.92692690894505,104.04160865230011,104.34227949157774,694100
2018-03-20,104.11473846435547,105.27681236213824,103.72467733774499,104.6673364268883,643600
2018-03-21,101.4249267578125,103.91971483797309,100.78294465250599,103.91971483797309,1460400
2018-03-22,101.99378204345703,103.25336209752543,101.17301926764014,101.19739731644182,1037600
2018-03-23,101.09175109863281,103.00144127479085,100.85608630754544,102.27006885415939,784500
2018-03-26,100.94548034667969,102.21318845603727,100.47415074707885,101.6849746771681,754800
2018-03-27,102.70077514648438,103.57029406129014,100.62856030087427,100.92110930023986,745700
2018-03-28,105.8944320678711,106.6989449326307,103.01770431487614,103.01770431487614,1790300
2018-03-29,108.16979217529297,108.9174145198212,106.4876326002395,106.4876326002395,1893000
2018-04-02,104.57795715332031,107.62533715087304,103.94410310581503,107.62533715087304,1484400
2018-04-03,104.29354858398438,104.94365891222665,103.63531637157496,104.65923176867592,1014000
2018-04-04,105.6831283569336,106.65016547964822,103.20459043733297,103.53777358714245,966800
2018-04-05,105.84566497802734,106.39825059759168,104.13100534112365,105.59375021617767,889100
2018-04-06,104.4316635131836,107.38153095289407,103.85469991577241,105.67499340599292,950400
2018-04-09,103.99285888671875,105.03303026407947,103.20460227108775,104.8298715981915,736100
2018-04-10,103.19647216796875,104.80549149825869,102.84703902148667,104.34228379718934,938600
2018-04-11,102.70890808105469,103.20461578673189,102.18882232426405,103.16398156826867,661700
2018-04-12,101.31114959716797,103.02580902305293,101.05923486632078,102.9120406800955,960000
2018-04-13,102.0100326538086,102.4163500028319,101.2949163514954,101.46556889409591,634300
2018-04-16,103.34274291992188,103.63529187849898,101.41680284251777,102.12379099248733,1073700
2018-04-17,103.0745849609375,103.65968295161896,102.41635282137631,103.65968295161896,650800
2018-04-18,102.97705841064453,103.85470527435014,102.60324723534251,103.07457059556069,833200
2018-04-19,96.83356475830078,100.53104934071764,96.63852794434976,100.36039677844407,3950100
2018-04-20,93.35545349121094,96.93917477966069,92.94913622222079,96.87416252864398,3113100
2018-04-23,93.29045867919922,94.208733585778,92.64847657286334,93.85930044435241,2094600
2018-04-24,94.20829010009766,95.15889868036456,93.06920288035319,93.42158278480468,1933000
2018-04-25,95.40473175048828,96.65854660543758,93.9706286480207,93.9706286480207,1536500
2018-04-26,95.1834716796875,95.93739865780863,94.74094769195729,95.412927172838,1376000
2018-04-27,96.95357513427734,97.51082694764621,94.89666577727546,95.10153767554057,1376300
2018-04-30,96.04393005371094,97.33052514586471,95.44570769517084,97.31413814724706,2475100
2018-05-01,95.73253631591797,96.6749482584549,94.72456386818679,95.72433968972021,1791200
2018-05-02,95.06056213378906,96.63397683409757,94.24107452918743,94.24107452918743,2627100
2018-05-03,97.10108184814453,97.5190222656115,94.75734686326606,94.75734686326606,2036600
2018-05-04,98.5761489868164,99.07603684607656,96.94537066435096,97.01912153595003,1404500
2018-05-07,99.0186767578125,99.62509576107064,98.19099262691314,98.87116875678285,969200
2018-05-08,97.28134155273438,99.25630904667035,97.15022682924307,98.9285128596537,1183000
2018-05-09,98.60894012451172,98.91214652193479,97.56818741649793,97.69111180159639,1441000
2018-05-10,98.59255981445312,99.42024411376109,97.81404902695601,99.09244779453266,837900
2018-05-11,98.78101348876953,99.40382567310894,97.93694245393984,98.92852147316063,832800
2018-05-14,97.55179595947266,98.74005037268586,97.06829506742609,98.55976211640387,1088200
2018-05-15,96.20783996582031,97.10107839747396,94.84748762688366,96.45368248038658,1775400
2018-05-16,97.01094055175781,97.39610072694583,96.18326257124126,96.29799033591077,1210900
2018-05-17,96.96995544433594,97.30594206150406,96.15865833391392,97.0355159435567,943500
2018-05-18,96.15045928955078,96.8552189621336,95.19985089315803,96.68312735634376,2292200
2018-05-21,97.5272216796875,97.78945746335575,96.27340664364263,96.53564242731088,1007300
2018-05-22,97.97792053222656,98.8301882566805,97.31413767802985,97.81402553806718,817200
2018-05-23,97.87958526611328,98.54336811508479,97.45344828114418,98.19918487874351,819300
2018-05-24,98.08442687988281,99.11697627042447,97.89594206924606,98.24012519942661,1050700
2018-05-25,100.45276641845703,100.78875299939672,98.15819921069298,98.19097945676877,1249900
2018-05-29,101.7311782836914,102.32121028713874,100.14956715030365,100.14956715030365,2130600
2018-05-30,103.32917022705078,103.87823157371183,101.1657238454577,101.82131631050723,1567500
2018-05-31,99.0186767578125,103.25542565933993,98.43684137936039,102.9276294068081,3401300
2018-06-01,98.6990737915039,99.36285664758178,98.22376955402413,99.24812890090642,1158600
2018-06-04,99.34647369384766,99.65787669718894,98.7810253106448,98.7810253106448,753000
2018-06-05,99.48577880859375,99.8217654157634,98.5351703547613,99.7889851671285,946500
2018-06-06,99.92012786865234,100.09221952222644,98.80562418172005,99.34648902340535,823300
2018-06-07,102.06719207763672,103.09155166792937,99.5595555491079,100.10042041383589,1733700
2018-06-08,103.87003326416016,104.16504924342907,101.73117054055703,101.96062602394552,1110600
2018-06-11,104.82884216308594,105.36970692788172,103.53405037965994,103.88643026370136,1379500
2018-06-12,104.57481384277344,105.43527832946516,103.63240184596685,104.8206626253123,1349600
2018-06-13,104.06671142578125,105.14024425638182,103.72252819102069,104.8370316435538,1365700
2018-06-14,104.80426788330078,104.91899564627082,103.65698400140626,104.15687193385891,1063500
2018-06-15,105.5909652709961,106.36127298735875,104.59118330732683,104.79605517436066,1886300
2018-06-18,104.0175552368164,105.29596006956795,102.7637402824704,105.04190842473452,1830100
2018-06-19,104.5338134765625,105.40246814257371,103.74710630225545,103.8290537939596,1371000
2018-06-20,103.9192123413086,104.86982088322375,103.0833378063433,104.42729686393847,840400
2018-06-21,104.03392791748047,104.41908801429946,103.18166648254466,104.07490479032235,940400
2018-06-22,105.64014434814453,106.00072087520388,104.07492010767679,104.07492010767679,1014900
2018-06-25,108.50833892822266,108.79515204015547,105.66471640633047,105.71388365383973,1439700
2018-06-26,107.49217224121094,108.71321309923742,106.20558338804088,108.20512235397439,1461300
2018-06-27,107.04967498779297,108.97546344947101,106.51700051630738,107.50858606794792,1402100
2018-06-28,109.69659423828125,109.78673836098167,107.23813180578223,107.41842005118309,1443000
2018-06-29,110.83567810058594,111.64697518123765,109.00002170292326,109.4753259265427,1567900
2018-07-02,109.41798400878906,110.72915662008748,108.99184697053278,109.9670391809712,1087200
2018-07-03,108.85252380371094,109.98342053099282,107.98386907294118,109.63922478447401,888900
2018-07-05,110.62264251708984,110.63902326695066,108.95908358580542,109.00825084416626,1295100
2018-07-06,110.99138641357422,111.69614614732227,110.4341284242823,110.93401628780576,1078200
2018-07-09,108.09040832519531,110.82750638434554,107.85276242557335,110.63082486079101,1736000
2018-07-10,108.5656967163086,108.81154545862051,107.2053570170373,108.2952643502041,1681900
2018-07-11,109.22130584716797,109.63924001974958,108.52473638847691,108.86893218282455,1412900
2018-07-12,109.360595703125,110.0653553974214,108.9836384854699,109.36879858028223,967200
2018-07-13,110.18831634521484,110.81112246568506,109.68022549266266,109.81134651941092,936300
2018-07-16,109.97521209716797,110.3030145762468,109.28684564768142,110.3030145762468,1095100
2018-07-17,110.6471939086914,111.048734737907,109.83589686894501,110.03257834947354,525600
2018-07-18,106.14820098876953,108.31164720558074,105.6647064280712,107.52494631095045,2907000
2018-07-19,106.81200408935547,107.12341335924467,104.35354144342001,104.68953433941756,1368100
2018-07-20,108.00846099853516,108.72960153559666,106.73825280212374,106.90214781034736,1633500
2018-07-23,107.09880828857422,108.32803936541107,106.4514062523178,108.00023690895682,1016300
2018-07-24,106.23017120361328,107.13980285085698,105.11566767639926,106.57435446143695,1721200
2018-07-25,106.78742218017578,107.64788662096527,105.9925182448585,106.39407165173036,1239700
2018-07-26,107.97565460205078,109.05738396493891,107.0824163430626,107.0824163430626,1282900
2018-07-27,108.76236724853516,109.68839199933903,106.53336055051209,107.361038311672,1518500
2018-07-30,110.31942749023438,111.08974791020681,107.94291821977397,108.18876702467426,1837700
2018-07-31,111.56571960449219,112.01967748778914,109.9810042071452,110.65781643209674,2324000
2018-08-01,110.7320785522461,111.26856612856774,109.50226787239652,111.26856612856774,1592800
2018-08-02,117.5661849975586,118.58139071766203,113.48883852914875,113.48883852914875,3829400
2018-08-03,118.09441375732422,119.58833742135036,116.37763577501327,117.53315336205087,1787200
2018-08-06,118.45761108398438,118.54840267492726,117.06272782049844,118.11920491826996,998500
2018-08-07,116.7738265991211,118.00363751476144,115.51100628850594,118.00363751476144,1731400
2018-08-08,116.2620849609375,117.17824983888868,115.7420957454471,116.65826062339828,793000
2018-08-09,115.72559356689453,116.44366429306093,115.54401043707365,116.40239311006586,646500
2018-08-10,115.72559356689453,116.60048723192413,115.21385356730985,115.62654020886698,500500
2018-08-13,116.5592269897461,116.78208132348024,114.94148966154687,116.31986166242476,648400
2018-08-14,117.0709457397461,117.65696632364396,116.22907404235647,116.61698790633184,594800
2018-08-15,119.6543960571289,120.05883360183141,117.26906717072428,117.64873192402052,1522700
2018-08-16,121.14006805419922,121.3546606230824,119.29947614317146,119.90200784576605,773500
2018-08-17,121.767333984375,121.8911349539402,120.71085706342414,121.23909552389956,793100
2018-08-20,122.34510040283203,122.68350653284706,121.76734151878145,121.93241368648175,855900
2018-08-21,120.9584732055664,122.1387511117808,119.53882996274449,121.99843914634124,1303200
2018-08-22,119.81121063232422,121.08228017849692,119.31598153453277,121.08228017849692,715300
2018-08-23,120.40544128417969,120.64479396047223,118.77945514235252,119.49752576542518,728600
2018-08-24,120.2321548461914,120.64484159142893,119.23345997546863,120.1991454480204,726700
2018-08-27,119.41500091552734,120.77687439328699,118.86200232547834,120.77687439328699,681800
2018-08-28,119.45626831054688,120.60353663738304,119.22516480544293,119.67912261696728,696400
2018-08-29,119.49755096435547,120.19086154622647,119.22517625129237,119.43978137963173,668600
2018-08-30,119.67916107177734,120.5210455932791,119.11791312024319,119.48932868748791,452600
2018-08-31,119.6626205444336,120.4219624884006,118.5648725162712,119.5553305767648,1157500
2018-09-04,120.6035385131836,121.97366116775028,119.39850058842717,119.66261348656963,861900
2018-09-05,122.53494262695312,122.69175299654123,119.42328132870385,119.86072823074169,1095600
2018-09-06,123.57488250732422,124.07836068752054,121.14003396802576,121.80858427739219,1020300
2018-09-07,124.41678619384766,124.64788972966316,122.60095470644285,123.10443296536907,1003600
2018-09-10,124.26824188232422,125.77867701698273,124.15269008703783,124.63140826585318,772200
2018-09-11,123.93804931640625,124.63135981861797,123.70694581566902,124.55707924928018,929600
2018-09-12,124.49933624267578,124.82949320058886,123.55016175135111,123.99585790178352,558500
2018-09-13,124.8047103881836,124.83771978089345,122.99714072801999,124.82947058126547,708600
2018-09-14,124.94503021240234,125.01106159617666,123.36856398456204,124.80471824470642,631500
2018-09-17,125.39894104003906,125.85289880732732,124.09486250011312,124.91197388703677,829200
2018-09-18,125.33296966552734,126.20786355105145,124.15267902422974,125.8777065980801,774200
2018-09-19,124.35074615478516,125.64657570508254,124.16916301868785,125.40722298615279,642000
2018-09-20,125.35771179199219,125.83642985914184,124.0701313465129,124.23520350210288,1028800
2018-09-21,125.84471130371094,126.59580428742323,125.55582551175962,125.7374087076945,1166000
2018-09-24,123.76473999023438,125.77865312049218,123.57490763280151,125.76214212595927,669400
2018-09-25,123.5089111328125,125.5310740343785,123.26129652167738,125.5310740343785,746500
2018-09-26,124.11138153076172,125.28341012849897,123.2529988233335,123.85551781780323,867900
2018-09-27,123.21175384521484,124.39204448744263,123.08795285912801,124.11140792864582,634300
2018-09-28,124.14440155029297,124.16916174185188,123.12918331958923,123.12918331958923,754100
2018-10-01,124.16091918945312,124.40853373761156,123.59967130154646,124.20219037984604,499400
2018-10-02,125.67134857177734,126.19133784070048,124.07013476482086,124.07013476482086,769300
2018-10-03,121.50324249267578,125.75391112049941,121.37117970570249,125.60533733660431,1438600
2018-10-04,120.98320770263672,121.437165490989,118.98580602808248,120.54576090500518,1131200
2018-10-05,123.45931243896484,123.80596763704526,121.29683890104664,121.29683890104664,1563800
2018-10-08,123.70696258544922,124.39202398200054,122.60095271719406,122.94762060949063,791900
2018-10-09,124.05360412597656,125.02753853250157,123.49234375734797,123.7647184458329,672600
2018-10-10,121.78385162353516,123.7895030051201,120.15786496546552,121.3051335247645,1465900
2018-10-11,117.3515853881836,122.5762005847696,116.81509770936493,121.78384916392362,1332200
2018-10-12,119.54706573486328,120.23212708508368,117.20300858575547,118.44931773469305,1065700
2018-10-15,121.00798034667969,122.55968618505327,119.57182626685325,119.8276899754793,990200
2018-10-16,122.72476196289062,123.25300038821415,121.23083825662553,121.73431648968369,604400
2018-10-17,123.33553314208984,123.87203337391969,121.53622529164579,122.49366139634704,1122900
2018-10-18,122.98062133789062,124.75516888998675,122.41937354075779,123.3107656192397,823700
2018-10-19,125.92721557617188,127.52842926453003,124.66438278886537,124.66438278886537,1410100
2018-10-22,124.50758361816406,126.22434922368421,123.33554229606275,126.0510278607782,977400
2018-10-23,123.91331481933594,124.5571050754753,123.10443980484384,123.95457341472527,1005200
2018-10-24,126.24910736083984,128.12269571149338,124.07012232065377,124.29296404709976,1073800
2018-10-25,125.11833953857422,126.89289974702582,124.64788329146302,126.18307818248468,1024200
2018-10-26,122.0066909790039,124.77993326130829,121.2886076220096,123.86378096074539,1062100
2018-10-29,123.60792541503906,124.81297621373493,122.51017719678997,122.5762085852034,1114500
2018-10-30,126.94731903076172,127.05530118938434,123.73250802235003,124.33891422620779,1334600
2018-10-31,123.31715393066406,126.05846071861342,119.62885163510849,120.26019042381229,3038300
2018-11-01,127.70325469970703,127.95246674156006,122.89351679638283,123.12611132199206,1909800
2018-11-02,128.0936737060547,128.65024003896676,126.99715855514657,127.67002214157087,1198400
2018-11-05,130.3863983154297,130.6688326683971,127.71985144943422,128.15181807338075,1387400
2018-11-06,131.33340454101562,131.4580042141666,129.81322515132388,130.36979148381485,1423500
2018-11-07,131.80691528320312,131.8899901944403,129.4643523566464,131.64077813618061,1171400
2018-11-08,131.03440856933594,131.97308941704145,130.2535498164894,131.69895734367265,791700
2018-11-09,131.88995361328125,132.22222781516632,130.6023688989421,131.05094033903177,1225600
2018-11-12,133.80059814453125,134.7226612054199,131.57431982844602,131.57431982844602,1095700
2018-11-13,132.79542541503906,134.61465664709303,131.7238302282475,133.75903844647078,794900
2018-11-14,133.06129455566406,133.8006284719435,132.28875094831596,132.45488813184144,787000
2018-11-15,133.50155639648438,133.5264763364932,131.3417353090664,132.92837242537598,629600
2018-11-16,134.58978271484375,135.39556132294712,132.978225498637,133.45171708123416,712800
2018-11-19,134.89707946777344,135.76931510818693,133.96670154490494,134.31559326598062,566500
2018-11-20,133.25233459472656,135.38722291085546,133.1194198074126,134.69774171154756,988700
2018-11-21,132.6708221435547,134.22422380389133,132.2554730215011,132.96155892372263,877000
2018-11-23,135.26260375976562,135.7360951927045,132.78712641058442,132.91172608360782,390700
2018-11-26,135.67796325683594,136.17637466241135,133.23570807561865,135.07155700943295,804200
2018-11-27,138.1950225830078,138.2199425275088,135.7278466737701,136.00197873873597,973300
2018-11-28,137.4141082763672,139.30809934513934,136.79108456491716,137.81283990256927,1013800
2018-11-29,137.93743896484375,138.43585028072997,136.78276897118505,137.13166069493997,827400
2018-11-30,137.5802459716797,138.33618445350098,136.89907996888627,138.2281896202551,2160100
2018-12-03,137.30615234375,137.57198195349676,134.3239477088293,137.38922726565923,993400
2018-12-04,135.9271697998047,138.27804756026813,135.57827802737748,137.77962349940046,1189000
2018-12-06,136.03512573242188,136.25941778411087,133.59288379632835,135.91882849736982,1082100
2018-12-07,134.9635467529297,136.1597542704089,134.4069804421066,136.05175944091582,808800
2018-12-10,134.7392578125,135.7111732742246,133.4599880448441,135.40381896829322,868500
2018-12-11,138.0038604736328,138.5853465287577,134.9801203115381,135.3206968524678,928700
2018-12-12,136.10162353515625,139.17520509635423,135.8191891197679,138.49403899597928,1274400
2018-12-13,137.13168334960938,138.20327862992764,135.87733342063984,136.4089798506843,768100
2018-12-14,136.66651916503906,138.17008140431886,136.33423216366728,136.9904910692184,839700
2018-12-17,130.20367431640625,136.80772419000726,129.20682607661962,136.12654540451652,1392300
2018-12-18,129.1736297607422,131.41651340156128,128.52568587951566,130.1787806241833,1105800
2018-12-19,128.63360595703125,131.25029990392432,127.4540034997038,129.5058288223642,1598500
2018-12-20,127.56201934814453,129.18187837650626,125.70126340805687,127.95244853388418,1458300
2018-12-21,128.3511962890625,131.69890959406382,126.45720508289875,127.20484119614284,2074400
2018-12-24,120.75862884521484,128.49242933699978,120.74202400264718,128.49242933699978,907400
2018-12-26,125.29424285888672,125.29424285888672,120.35158984826268,121.43148764225899,793000
2018-12-27,127.246337890625,127.30449284596054,122.32030389277449,124.45520424527088,843200
2018-12-28,127.19649505615234,128.66683431210086,125.93384301051354,127.83613617265274,614300
2018-12-31,128.04383850097656,128.39273027422223,126.69811127910754,127.57864946998235,565400
2019-01-02,125.5434341430664,127.62017982702926,124.51336372065893,127.08853343895277,1048700
2019-01-03,126.29105377197266,128.14350731797805,124.98686411237402,125.69295001870151,880600
2019-01-04,127.14669036865234,128.49241767068577,125.66804828543135,126.55690162474068,1031500
2019-01-07,128.65855407714844,129.38955994659824,126.65656817378905,126.66487059345387,856900
2019-01-08,125.55172729492188,129.37294414152672,124.81240639302275,128.84129779269418,2527300
2019-01-09,125.38560485839844,127.22975611944204,125.06993544465846,126.15814820198278,1578600
2019-01-10,127.1882095336914,127.24635181994364,124.03986874415219,125.07824155640053,1457800
2019-01-11,127.38758850097656,128.3927263388267,126.41566034225035,127.67832529871129,1158600
2019-01-14,125.58497619628906,126.69812166939853,124.82073520048873,126.64828179419766,1255900
2019-01-15,126.78116607666016,128.09367086602646,126.05016021741223,126.05846263696118,856300
2019-01-16,126.18307495117188,126.96393343230572,124.67121053754225,126.49874438195815,829500
2019-01-17,126.24957275390625,126.75629941926667,125.43549165520517,126.34926520764364,734200
2019-01-18,128.23492431640625,128.63366872561676,126.72305962670626,127.34608350621272,940600
2019-01-22,126.37085723876953,128.76988944585617,125.17553107764724,128.39373848105126,1062300
2019-01-23,126.80553436279297,127.94235445243473,125.75230905001972,127.08973619651037,712300
2019-01-24,124.69071960449219,126.22876659958142,124.16410055805858,126.22876659958142,967700
2019-01-25,123.45359802246094,125.80246594383807,122.86010569394817,124.40651984566522,1109800
2019-01-28,122.65950012207031,123.4285236418446,121.85703358786901,122.85175281332067,962900
2019-01-29,122.01583099365234,123.46192857908696,121.81521121255652,122.87680349435361,1167000
2019-01-30,121.74835968017578,122.8183065274292,121.20503188055129,121.95733387307328,1326300
2019-01-31,124.03034973144531,124.18917213663433,120.0180432371052,121.30531847350908,1256300
2019-02-01,125.26750183105469,126.2287781018864,124.71580685164017,125.38452687928441,1410100
2019-02-04,132.38929748535156,134.8719112182559,129.5639631114595,130.36642939831268,4004900
2019-02-05,127.69158935546875,131.7038965080631,127.09810977581564,131.64539036510442,2682300
2019-02-06,128.5859832763672,128.9203368346573,127.35721417975645,127.54946683803473,868500
2019-02-07,128.051025390625,128.67794795418916,125.96128351207774,128.20984781415814,785700
2019-02-08,130.1156463623047,130.19922835566086,127.59958984812587,127.59958984812587,833400
2019-02-11,129.9735870361328,130.70916748470339,129.15439905794804,130.1073208191999,777300
2019-02-12,129.48040771484375,130.08225442423824,128.92035839591858,129.9652293837878,850600
2019-02-13,130.65904235839844,130.73427001822964,128.79499584330364,129.19622278384443,706300
2019-02-14,130.6924285888672,131.34442686698154,129.16273639643924,130.0069873066209,616400
2019-02-15,130.6339569091797,132.06334611521112,130.45842571575605,131.57852441827572,788000
2019-02-19,130.40821838378906,131.2274062001055,129.8481692163703,130.61719252483053,754600
2019-02-20,129.7980499267578,130.95159155534228,129.43025330577305,130.54199754474152,907900
2019-02-21,132.857421875,133.05802891743411,129.11260827723203,129.7813154250407,1197200
