Price,Close,High,Low,Open,Volume
Ticker,CVS,CVS,CVS,CVS,CVS
Date,,,,,
2018-01-02,57.428741455078125,57.827119884899226,56.9210111349884,57.06942195428971,5878300
2018-01-03,57.17877960205078,57.72557480879673,57.06942175261276,57.59278398584424,6139500
2018-01-04,58.686363220214844,59.889305538757114,58.33485669395408,58.73323512739061,13715500
2018-01-05,61.27971649169922,61.36564136714191,59.47530602651418,59.60809684872351,15338100
2018-01-08,60.748538970947266,61.53748273823502,60.26424169482517,61.17816328965718,9589200
2018-01-09,60.68606185913086,61.185985161093726,60.490779133065494,60.912590536513385,7778400
2018-01-10,60.49076843261719,60.639179225675925,59.83461549013798,60.27205277164238,8772200
2018-01-11,61.72495651245117,61.756202461277724,60.67824404476088,60.9360186529134,7158200
2018-01-12,61.53749465942383,62.24051369916011,61.326591927281015,61.646852514543234,7098200
2018-01-16,62.05305099487305,62.607653311603734,61.57656058931234,61.57656058931234,8437300
2018-01-17,62.09989547729492,62.46702788836241,61.654651182066324,62.17800736145604,7448700
2018-01-18,61.98272705078125,63.029445409298766,61.91242814020391,62.4279713631027,8065800
2018-01-19,62.38111877441406,62.521722585217766,61.79527055599136,62.16240305973192,7963600
2018-01-22,63.23253631591797,63.25597524610722,62.435785516581326,62.560763346481835,7016200
2018-01-23,63.224693298339844,63.42904526819376,62.64305954741518,63.256133446762405,5780600
2018-01-24,63.601959228515625,63.8141787183472,63.15394763470927,63.476204639048035,7308500
2018-01-25,64.12071228027344,64.44296328615359,63.47620427191837,63.900637252531915,6357400
2018-01-26,64.45868682861328,64.45868682861328,63.601959325394006,64.16786997034714,5883300
2018-01-29,65.7319564819336,65.92845283085356,64.25430609682881,64.45080244574878,8372900
2018-01-30,63.02817916870117,63.617668293745986,61.44834663453491,61.692000220643514,16517900
2018-01-31,61.84920883178711,63.87704712397801,61.33831699206453,63.35043821074447,12472400
2018-02-01,61.92782211303711,62.2500731739076,60.99249708893291,61.54269074876894,9150000
2018-02-02,60.088592529296875,61.73130543692243,59.40478894282258,61.589827798928816,10395600
2018-02-05,57.62845993041992,60.04929684865964,57.60488132352048,59.19256948621905,12199500
2018-02-06,58.178653717041016,58.67382850195675,56.41018604884363,56.98395819747146,11241200
2018-02-07,58.43803405761719,59.38907600999477,57.82496618720807,58.0371796821209,9611100
2018-02-08,55.4512939453125,59.21616019925954,55.41199226138272,58.16294223180598,11725200
2018-02-09,54.53953170776367,56.08006252135424,52.90468047826594,55.81283033784055,16718500
2018-02-12,54.916805267333984,55.52201142221491,54.6259884935588,55.08971702830492,8943800
2018-02-13,55.105464935302734,55.97790965330865,54.704610498128076,54.79106941588331,8796200
2018-02-14,54.853939056396484,55.19191312467159,54.67315971897718,54.75176308099968,6577000
2018-02-15,55.40412521362305,55.75782234401979,54.30374413560168,55.482722577068614,6770200
2018-02-16,56.51234436035156,56.755997884834635,55.270486145169045,55.30978780886913,6469900
2018-02-20,55.53774642944336,56.158669788236416,54.80677956769305,56.0014750638878,6415200
2018-02-21,54.044376373291016,55.72638522814289,54.012936226885074,55.48272559264553,10624800
2018-02-22,53.44701385498047,54.34303684282178,53.10117831700892,54.201559213341916,10061500
2018-02-23,53.572776794433594,54.06008398695344,52.999004716983855,53.84787053159701,5804800
2018-02-26,53.6277961730957,53.81643102414328,53.10904283697262,53.60421156969518,7837600
2018-02-27,53.643516540527344,54.75175910126828,53.54134057255738,54.46880380901928,7391900
2018-02-28,53.23480987548828,53.98935536802608,53.1404894401981,53.737840203846815,10799800
2018-03-01,52.778934478759766,53.86359245290658,52.47240057309666,53.211222962764374,9556400
2018-03-02,53.022579193115234,53.14047821317071,52.37020981252245,52.747485477381304,10613900
2018-03-05,53.69066619873047,53.91860270743184,52.65316560540309,53.054019879091236,7754200
2018-03-06,53.17192077636719,53.81642865258888,52.708186208760004,53.745686838692336,8838300
2018-03-07,53.0618896484375,53.36056201830183,52.299482655353195,52.62959516887601,6790100
2018-03-08,53.729984283447266,54.51597000322081,53.329129887316114,53.329129887316114,8374000
2018-03-09,54.44521713256836,54.523820485886624,53.627797426722566,54.05222435235275,5795600
2018-03-12,54.240882873535156,54.673171474635275,54.05224196003369,54.44523486826792,4752600
2018-03-13,53.643516540527344,54.492382417274335,53.50990042935259,54.44521920417006,7210600
2018-03-14,52.70034408569336,53.84002096291261,52.37022553113625,53.69068175957951,7622400
2018-03-15,51.7650146484375,53.116910906559205,51.60781991932338,52.84181713231224,9485300
2018-03-16,51.599952697753906,52.228737541514995,51.599952697753906,51.94578226301465,15281600
2018-03-19,50.01226806640625,51.7807327918318,49.76075289667389,51.65497820526295,8883200
2018-03-20,49.46993637084961,50.37381808105093,48.62893195434617,50.27950363965278,9700600
2018-03-21,49.061222076416016,49.70573305789966,49.04550500216029,49.48565504045503,7525700
2018-03-22,48.5660514831543,49.721448289148576,48.52675280237712,48.778267957307655,8590500
2018-03-23,47.8350830078125,49.084800203322025,47.77220272205997,48.73110609170668,6976900
2018-03-26,48.416717529296875,48.59749687733732,47.98442599745088,48.16520234719384,7496700
2018-03-27,47.63072204589844,48.628924031460166,47.26916942072401,48.51888653669376,7843700
2018-03-28,49.28915023803711,49.4935081481307,47.795779579360975,47.850798324779234,10253800
2018-03-29,48.89616394042969,49.83148873259858,48.21235730118391,49.27343667236864,8096400
