Price,Close,High,Low,Open,Volume
Ticker,EMR,EMR,EMR,EMR,EMR
Date,,,,,
2018-01-02,58.89004898071289,58.90670225496541,58.02426290911393,58.32395833202754,3086500
2018-01-03,59.43115997314453,59.489433724324485,58.45715312426707,58.87339601879889,3308800
2018-01-04,59.51442337036133,59.78081864082204,59.28132830262873,59.522750008884415,2806400
2018-01-05,60.29696273803711,60.33026294103141,59.27300213789631,59.73919862845223,3118800
2018-01-08,60.10549545288086,60.296970055493794,59.67260546414933,60.296970055493794,2334700
2018-01-09,60.20536804199219,60.430136395622014,59.847398922239414,60.28861534513797,3367600
2018-01-10,60.43012619018555,60.52170011358954,59.6892145199976,59.7225147059046,2411300
2018-01-11,61.50403594970703,61.520689219040065,60.32190788151344,60.67155032117161,2917300
2018-01-12,61.52903366088867,61.978570441200766,61.47908018979378,61.60395434048631,3500400
2018-01-16,60.62993621826172,61.504042409210726,60.03054548654699,61.096126186767854,3899900
2018-01-17,60.829750061035156,61.42081434230536,60.67990233118046,60.81310313610195,3276100
2018-01-18,61.14610290527344,61.56234596480931,60.771486692237175,61.17108282399223,2356200
2018-01-19,60.888023376464844,61.43746716566941,60.67157524574512,61.29593972364272,3538100
2018-01-22,60.98792266845703,61.00456959290968,60.23035740290413,60.72152741766823,3521500
2018-01-23,60.87136459350586,61.47907567684289,60.77979064647765,61.054506136199606,3205600
2018-01-24,60.46345901489258,61.35421882682286,60.07219590983976,61.22102436265614,3284300
2018-01-25,60.50507354736328,60.93796340703592,59.76416162796759,60.83806916707625,3293700
2018-01-26,61.64558410644531,61.64558410644531,60.50507612454214,60.68822404075352,3587500
2018-01-29,60.763153076171875,61.495744841716466,60.696559021329534,61.32924382619982,2136400
2018-01-30,60.330257415771484,60.696553263797824,60.01390869198012,60.296957215826936,2311600
2018-01-31,60.130455017089844,60.97958777928014,59.96395403827406,60.72983948673792,5458100
2018-02-01,60.42182159423828,60.85471142069621,58.04923830679179,59.464461642780876,3022200
2018-02-02,58.74853515625,60.22203254127631,58.69858803005506,59.82244282898889,4853000
2018-02-05,56.97533416748047,59.45613846814603,56.792186262458905,58.29065699639677,4426300
2018-02-06,57.64965057373047,59.42284331571677,54.944071304927235,55.526808914585565,7320400
2018-02-07,57.40823745727539,58.706913667621876,57.216769221834326,57.782859991973865,4045300
2018-02-08,55.27707290649414,57.54143589335282,55.24377270358572,57.40823508171912,4350200
2018-02-09,57.49980163574219,58.08253923306936,55.27706577704122,56.1927990091397,5979300
2018-02-12,58.532081604003906,59.15644602908327,57.89107025552231,58.03259133421309,5187900
2018-02-13,58.59037399291992,58.70692154788426,57.77454110816958,58.182457550544754,3542100
2018-02-14,59.36457061767578,59.864067265027685,58.0492476535584,58.865080321687586,5000200
2018-02-15,59.93034744262695,60.84396785159166,59.16759449655314,60.29076796975451,4089400
