Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2018-01-02,156.70645141601562,158.948331645925,156.68977961592594,158.5232961200687,4684700
2018-01-03,157.52322387695312,157.81492321246313,156.53147411331122,156.68148219429804,4530500
2018-01-04,158.7733612060547,159.07339012101903,157.0732058324978,158.2399778813249,4047400
2018-01-05,160.4318084716797,160.4651393559447,158.77331402941016,159.1233455400527,4224800
2018-01-08,160.04844665527344,161.44858553101213,159.68175603046598,159.78176140842632,3508500
2018-01-09,160.93186950683594,161.24022789127568,159.71508233682817,160.59849706176468,3012300
2018-01-10,159.8484344482422,161.0318780385117,159.72341501006787,160.64850289837938,3119500
2018-01-11,162.24867248535156,162.29034563653886,159.5150816300202,159.74843601643676,3899200
2018-01-12,163.6987762451172,166.19901213409702,162.36532473444234,162.93203876518623,6748400
2018-01-16,163.6071319580078,165.80733945575562,163.0987500539101,164.89892329302916,5692700
2018-01-17,166.53240966796875,166.53240966796875,164.04883248750642,164.59888751809413,3996100
2018-01-18,165.29063415527344,166.88245442267748,164.73224953768957,166.49907923612574,4474600
2018-01-19,167.7908477783203,167.7908477783203,165.95734383107933,166.52405791499478,5809600
2018-01-22,170.3994140625,170.40774360398862,167.94083861963196,168.01585536045852,4857700
2018-01-23,170.76611328125,171.97457085167915,170.14105428283128,170.7577837393399,3621700
2018-01-24,171.86624145507812,172.5996481604211,170.4744447969726,171.01615756632688,4370700
2018-01-25,171.15780639648438,172.374593426776,169.88268714303976,172.3495920858737,3537700
2018-01-26,172.70797729492188,172.7746517856144,170.38276324749245,171.34952428724569,3778100
2018-01-29,170.78277587890625,173.02465606712312,170.6077664902202,172.7079554555959,3632900
2018-01-30,168.19088745117188,169.30765657052984,159.65675601147046,167.90753040002593,5979600
2018-01-31,167.43247985839844,170.91614892547418,166.87409529724758,169.36600196583933,4547300
2018-02-01,166.59906005859375,168.55758341993212,165.2489366365655,166.13235135551525,3553800
2018-02-02,161.6569366455078,166.09902440599026,161.21522927556506,166.05735126004384,6179000
2018-02-05,152.60609436035156,161.93197805197812,150.33088282514592,158.40664833219753,10618500
2018-02-06,159.21505737304688,159.9818077699719,146.1971631825625,148.8640796168866,11682700
2018-02-07,159.4234161376953,162.11534673352352,158.11496558008832,158.95670733455242,6016800
2018-02-08,151.0309600830078,159.29840759092852,150.78926342327495,159.29840759092852,7241800
2018-02-09,153.4478302001953,155.01464900143273,146.50550595276394,152.72276575006745,9059200
2018-02-12,153.3977813720703,155.85634375888483,152.85606876233095,155.4729814335831,6783700
2018-02-13,153.11447143554688,153.33949626239485,150.7559136756706,152.70609493006123,4273800
2018-02-14,153.9228973388672,154.23125577563098,150.88927751667813,151.5810111511126,6767000
2018-02-15,154.40626525878906,156.00641498477805,152.7310987780487,155.63138207845964,5113300
2018-02-16,155.82305908203125,156.67314297235538,154.0645590680005,154.231238942198,7619200
2018-02-20,155.6063995361328,159.5484357340726,155.27302702156277,158.26497380748495,8922100
2018-02-21,152.5644073486328,156.6647930954492,152.39772748253952,156.0230749751471,7527200
2018-02-22,154.5729217529297,155.19798074118486,152.43938910771595,153.1144507803343,5653900
