Price,Close,High,Low,Open,Volume
Ticker,LMT,LMT,LMT,LMT,LMT
Date,,,,,
2018-01-02,261.1190185546875,264.4635343482697,260.2664851106816,263.9553014350849,1189600
2018-01-03,263.3077392578125,263.56185575013893,261.1928286082981,261.4797415882638,893400
2018-01-04,267.824462890625,267.9720095407696,263.12736106325923,263.29131846323344,1443000
2018-01-05,270.2508544921875,270.6607229411321,267.2178429798282,267.2260233376655,1241100
2018-01-08,269.0048522949219,270.84926023894053,268.71793938924225,269.660631779575,1084500
2018-01-09,270.93115234375,272.0131856459903,269.2179058474625,269.6933420694373,865400
2018-01-10,271.3739013671875,273.5789957158639,270.52139296959496,271.3903121163166,1504600
2018-01-11,271.43951416015625,272.2182492927138,270.64436827727076,272.02972579504427,1152000
2018-01-12,275.6365966796875,275.71857539201534,271.3575680666364,271.6198899395293,1428100
2018-01-16,270.6033630371094,275.9808606524555,270.513203976983,275.71853881436306,1374900
2018-01-17,274.4970703125,275.2184427450381,270.7754830154074,271.70997001837105,1009600
2018-01-18,272.972412109375,275.3660550786255,272.96420673439815,273.8823081418738,973200
2018-01-19,272.1526794433594,274.52173134156067,271.97233630572333,273.9888822873718,1511800
2018-01-22,269.69342041015625,272.7264567252735,269.668829305607,271.96408245148064,1463000
2018-01-23,269.4475402832031,271.4558807621996,269.2917882643913,270.5049829165433,1066200
2018-01-24,270.914794921875,272.546088092126,268.3982220707695,269.5868253678318,1360200
2018-01-25,274.3823547363281,274.76763210605554,270.68533306190454,271.36572874412303,1782900
2018-01-26,282.7273254394531,282.89946322869645,274.39879336442687,276.14483741878337,2057300
2018-01-29,288.0719299316406,290.4491617529069,280.4729534509789,286.90789261724217,2881100
2018-01-30,287.2276306152344,289.13760662636196,282.8502134600767,284.0552277298118,2032900
2018-01-31,290.8836364746094,293.8920568109317,288.91627296856905,289.59664357083216,1887200
2018-02-01,292.95758056640625,296.5726233373755,290.1950711854587,290.40000541272644,1579700
2018-02-02,289.08843994140625,293.46583231531633,288.1539277971175,291.00662142999244,1958600
2018-02-05,275.8086853027344,290.1786729371243,267.32440292508636,285.78489492309336,2947100
2018-02-06,276.73492431640625,278.71869824345845,268.24246365914735,269.4556580293957,2603000
2018-02-07,283.1617736816406,287.18668574841416,276.92358650759786,277.30886393604555,2052900
2018-02-08,274.03802490234375,287.71943522740406,273.80031922247525,287.0800414711676,2627600
