Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2018-01-02,197.13584899902344,198.28571297738256,196.10185414016422,197.01105745407548,3485000
2018-01-03,199.20382690429688,199.49798132029957,196.5653731870592,197.54587430580978,2417600
2018-01-04,200.06849670410156,201.53926906200758,199.8189135648074,199.9704452135745,2749100
2018-01-05,203.88352966308594,204.16877525395054,200.3091325605862,200.72807852138206,2432800
2018-01-08,200.3448028564453,203.86573378828052,200.2111024722343,203.3487363005648,2850800
2018-01-09,201.34312438964844,202.0116534317413,199.04338285269804,200.34477843793422,2672200
2018-01-10,199.8455810546875,200.56759013119708,198.80267754403414,200.4071497147532,2311600
2018-01-11,200.90638732910156,201.3788135251427,199.39996607705072,199.82782094112818,2543600
2018-01-12,203.80332946777344,204.9264534893347,201.91362484700883,202.74259442455792,3943800
2018-01-16,207.60057067871094,209.4724576557127,206.12981205482367,208.01951668212314,6852600
2018-01-17,212.52987670898438,213.00231650946537,208.44740381784928,209.17832198218062,5124800
2018-01-18,216.7460174560547,217.40562402720786,212.63679201718625,213.26965851660387,6234200
2018-01-19,216.91539001464844,217.80676204906038,214.88306286428985,217.65521683410344,4293600
2018-01-22,217.1025848388672,217.31651903768366,215.1415689541216,217.1293249135619,4012200
2018-01-23,218.5733642578125,220.1510831225612,216.0775195932471,216.5945170567203,3300000
2018-01-24,218.25245666503906,220.44522433937934,217.23629304982467,219.28643792873805,2733300
2018-01-25,218.5465850830078,219.44687952697464,217.40562998682398,218.16330164345342,2420500
2018-01-26,221.47923278808594,221.71990706997252,217.90483546649708,218.38617042901103,2615300
2018-01-29,220.5343780517578,223.54720654907845,220.52545562580949,222.20123955300895,2564700
2018-01-30,210.94320678710938,216.3716733356284,206.88747452154735,207.58274368714422,11565500
2018-01-31,211.05911254882812,220.1689376987983,210.14990907872303,216.4608260100949,5187400
2018-02-01,209.66854858398438,211.9861215080748,208.42954189642484,209.70419748379328,4268300
2018-02-02,206.69137573242188,210.631238950623,206.07632678093913,207.68970817467823,3959900
2018-02-05,196.1196746826172,207.78773110263558,185.83323400578652,205.71974149781934,6290000
2018-02-06,200.7191619873047,201.90468850677325,187.3753342274227,189.14915599311473,7064800
2018-02-07,201.28965759277344,204.38270631950823,197.44783235101858,198.17876401412218,5589200
2018-02-08,192.9464111328125,202.0116637756212,192.7681258314522,200.8528773230737,4902400
2018-02-09,196.95758056640625,199.02555671709496,188.9797895781059,194.31911322793195,6225300
2018-02-12,201.17376708984375,203.23283442026877,198.01830230714003,198.27680782727413,4912000
2018-02-13,202.02056884765625,202.44842364020403,198.23223748551914,198.90967537382468,3536800
2018-02-14,203.92811584472656,204.42728206384976,199.59604672696545,200.51415893740835,2878400
2018-02-15,201.4679412841797,205.01559870560212,197.6528694920197,204.36490083110667,4662700
2018-02-16,204.45399475097656,205.50582080144792,201.18266108771218,201.44116658879528,3621700
2018-02-20,202.0384063720703,203.90137082370936,201.10246293328345,203.1526215131835,3172300
2018-02-21,200.67459106445312,204.43618214911064,200.65675981535892,201.5837807493882,3371900
2018-02-22,202.42169189453125,204.87296522971462,200.63003882599597,201.71751390279624,2767900
2018-02-23,205.15821838378906,205.30084119283902,201.36988672642974,203.1437086094224,2393900
2018-02-26,208.6345672607422,209.0356820156958,204.748184068033,206.47744824845432,3307000
2018-02-27,207.26187133789062,210.26579135145377,207.19055992850573,208.93764185402364,2899500
2018-02-28,201.59271240234375,209.24959528720944,201.53030982828662,208.95544086935118,4368600
2018-03-01,200.06849670410156,204.38273508477053,198.54425778921654,201.18271200497233,3514600
2018-03-02,200.72808837890625,201.28965716271244,198.41051544372243,198.9631754028485,2613600
2018-03-05,203.57154846191406,204.5074782119394,198.58876847975205,199.10576588904422,2627300
2018-03-06,201.6105499267578,204.25792634721526,199.56931365168361,204.05291455743938,2652800
2018-03-07,202.58213806152344,203.07239542972363,199.44450450630094,199.9793331991118,3242200
2018-03-08,200.98126220703125,203.89676476547442,200.25686255052898,203.84309390704206,3500900
2018-03-09,201.60731506347656,202.5821379288204,198.98695408351824,202.21546206416318,4834600
2018-03-12,199.22842407226562,203.01140816557879,199.22842407226562,202.30489869659564,3117300
2018-03-13,202.95774841308594,203.95938622384043,199.5772071554979,199.90810243663105,3343800
2018-03-14,201.5626220703125,205.148854166215,201.24066508478887,203.1276880964955,3048200
2018-03-15,205.2293243408203,206.37405716948948,201.81301614328035,201.9650494795248,3330200
2018-03-16,203.78048706054688,206.83013248002172,203.68211096165126,205.3902715668891,5690300
2018-03-19,201.26744079589844,203.8788629270822,200.04220872081504,203.28860633438123,3407300
2018-03-20,202.8146209716797,203.54797257036842,200.22108906365605,201.3658217061496,3429100
2018-03-21,199.2731475830078,203.40491734585717,199.2731475830078,202.51953226254994,3419800
2018-03-22,192.4673309326172,198.23571371419584,192.36895481991405,198.2267617472194,5894800
2018-03-23,190.0884246826172,194.7210129370007,190.0437057872914,192.95025658168527,5741200
2018-03-26,195.91941833496094,196.2234849918674,192.01121610574404,192.44943944984408,3561300
2018-03-27,194.92672729492188,198.49506879963855,193.54052334525448,197.03733098926733,3722100
2018-03-28,195.40966796875,196.67066727056928,194.1039497665123,195.75845355794547,3179500
2018-03-29,191.3852081298828,199.7471374015511,191.3852081298828,196.19667240201764,5529400
2018-04-02,194.24705505371094,199.4251955895734,191.94865083071235,195.37391136011271,6220700
2018-04-03,200.84716796875,201.31221999744307,196.47392671497778,197.0552315161242,4652000
2018-04-04,204.6122283935547,205.2293136738386,197.12674649824703,197.3682176179866,4674000
2018-04-05,204.86264038085938,207.10738690188285,202.83252271349502,205.21142591434574,3348100
2018-04-06,200.2926483154297,204.0756319787325,198.37879703709092,202.69836648201874,3231700
2018-04-09,199.19264221191406,202.23334988566666,198.86174692878282,201.74146929838253,3031500
2018-04-10,202.82357788085938,204.04881009751583,199.87232186892138,201.5804690232961,2737500
2018-04-11,198.4503631591797,201.57155683469207,198.26256288127604,200.56991896242582,3482100
