symbol,underlying,strike,expiration,option_type,bid,ask,last,volume,open_interest,delta,gamma,theta,vega,implied_volatility,mid_price,days_to_expiration,underlying_price,moneyness
SPY250729C00535000,SPY,535.0,2025-07-29,C,98.65,101.43,102.76,1,1,1.0,2.299888245714611e-05,-0.0,0.0,1.9624025317382814,100.04,0,635.260009765625,0.8421748445921926
SPY250729C00540000,SPY,540.0,2025-07-29,C,93.63,96.43,89.5,0,2,0.9998478748923114,2.3705959841517873e-05,-0.0,0.0,1.875000625,95.03,0,635.260009765625,0.8500456375323066
SPY250729C00545000,SPY,545.0,2025-07-29,C,88.63,91.43,93.0,1,1,0.973611898425265,2.4396961913410176e-05,-0.0,0.0,1.7880869970703124,90.03,0,635.260009765625,0.8579164304724205
SPY250729C00560000,SPY,560.0,2025-07-29,C,73.65,76.43,76.18,132,15,0.8949039690241254,2.6347215191699553e-05,-0.0,0.0,1.5278343920898436,75.04,0,635.260009765625,0.8815288092927623
SPY250729C00570000,SPY,570.0,2025-07-29,C,63.65,66.43,65.28,13,55,0.8424320160900325,2.7519317856691273e-05,-0.0,0.0,1.3544954150390622,65.04,0,635.260009765625,0.8972703951729902
SPY250729C00580000,SPY,580.0,2025-07-29,C,53.63,56.43,55.26,12,5,0.7899600631559394,2.8566049404330254e-05,-0.0,0.0,1.1806681591796875,55.03,0,635.260009765625,0.9130119810532181
SPY250729C00585000,SPY,585.0,2025-07-29,C,48.65,51.43,50.23,12,2,0.763724086688893,2.9036718341020996e-05,-0.0,0.0,1.0932662524414063,50.04,0,635.260009765625,0.9208827739933321
SPY250729C00590000,SPY,590.0,2025-07-29,C,43.63,46.43,42.92,1,2,0.7374881102218465,2.9469466520152623e-05,-0.0,0.0,1.0053760668945313,45.03,0,635.260009765625,0.928753566933446
SPY250729C00595000,SPY,595.0,2025-07-29,C,38.65,41.43,39.92,22,5,0.7112521337547999,2.9862379423017486e-05,-0.0,0.0,0.9169930175781251,40.04,0,635.260009765625,0.93662435987356
SPY250729C00596000,SPY,596.0,2025-07-29,C,37.63,40.43,41.23,5,3,0.7060049384613907,2.9936024349552562e-05,-0.0,0.0,0.8989267919921874,39.03,0,635.260009765625,0.9381985184615828
SPY250729C00599000,SPY,599.0,2025-07-29,C,34.63,37.43,36.12,9,4,0.6902633525811628,3.0146843083325553e-05,-0.0,0.0,0.8452163916015624,36.03,0,635.260009765625,0.9429209942256511
SPY250729C00600000,SPY,600.0,2025-07-29,C,33.63,36.43,35.43,18,10,0.6850161572877534,3.0213701729964694e-05,-0.0,0.0,0.8273943041992187,35.03,0,635.260009765625,0.9444951528136739
SPY250729C00601000,SPY,601.0,2025-07-29,C,32.65,35.43,34.37,46,11,0.6797689619943441,3.0278832840374584e-05,-0.0,0.0,0.8093280786132812,34.04,0,635.260009765625,0.9460693114016968
SPY250729C00602000,SPY,602.0,2025-07-29,C,31.65,34.43,33.39,38,3,0.6745217667009349,3.034222461242615e-05,-0.0,0.0,0.7912618530273439,33.04,0,635.260009765625,0.9476434699897196
SPY250729C00603000,SPY,603.0,2025-07-29,C,30.63,33.43,32.59,1,1,0.6692745714075256,3.040386554249983e-05,-0.0,0.0,0.7731956274414062,32.03,0,635.260009765625,0.9492176285777424
SPY250729C00604000,SPY,604.0,2025-07-29,C,29.63,32.43,33.38,8,2,0.6640273761141162,3.046374442896389e-05,-0.0,0.0,0.754885263671875,31.03,0,635.260009765625,0.9507917871657652
SPY250729C00605000,SPY,605.0,2025-07-29,C,28.65,31.43,29.82,21,19,0.658780180820707,3.052185037556639e-05,-0.0,0.0,0.7368190380859375,30.04,0,635.260009765625,0.952365945753788
SPY250729C00606000,SPY,606.0,2025-07-29,C,27.63,30.43,29.33,1,2,0.6535329855272977,3.057817279473918e-05,-0.0,0.0,0.7182645361328125,29.03,0,635.260009765625,0.9539401043418108
SPY250729C00607000,SPY,607.0,2025-07-29,C,26.65,29.43,28.09,5,5,0.6482857902338883,3.0632701410812584e-05,-0.0,0.0,0.6999541723632813,28.04,0,635.260009765625,0.9555142629298335
SPY250729C00608000,SPY,608.0,2025-07-29,C,25.63,28.43,26.86,3,9,0.6430385949404791,3.0685426263139486e-05,-0.0,0.0,0.6813996704101564,27.03,0,635.260009765625,0.9570884215178563
SPY250729C00609000,SPY,609.0,2025-07-29,C,24.63,27.43,25.65,16,8,0.6377913996470698,3.07363377091274e-05,-0.0,0.0,0.6628451684570313,26.03,0,635.260009765625,0.9586625801058791
SPY250729C00610000,SPY,610.0,2025-07-29,C,23.63,26.43,25.17,63,72,0.6325442043536604,3.078542642717723e-05,-0.0,0.0,0.6442906665039063,25.03,0,635.260009765625,0.9602367386939019
SPY250729C00611000,SPY,611.0,2025-07-29,C,22.65,25.43,24.56,43,16,0.6272970090602512,3.0832683419527525e-05,-0.0,0.0,0.6254920263671876,24.04,0,635.260009765625,0.9618108972819247
SPY250729C00612000,SPY,612.0,2025-07-29,C,21.63,24.43,25.32,1,4,0.6220498137668419,3.0878100015002924e-05,-0.0,0.0,0.6066933862304689,23.03,0,635.260009765625,0.9633850558699475
SPY250729C00613000,SPY,613.0,2025-07-29,C,20.65,23.43,22.0,18,38,0.6168026184734325,3.092166787166577e-05,-0.0,0.0,0.58789474609375,22.04,0,635.260009765625,0.9649592144579703
