contract_symbol,last_trade_date,strike,last,bid,ask,change,percentChange,volume,open_interest,implied_volatility,inTheMoney,contract_size,currency,option_type,expiration,date,underlying,underlying_price,mid_price,bid_ask_spread,spread_pct,days_to_expiration,moneyness,delta,gamma,theta,vega
SPY250729P00450000,2025-07-23 16:33:22+00:00,450.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.9375003125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.4134339735243056,0.0,1.0762774653163887e-05,-0.0,0.0
SPY250729P00455000,2025-07-18 16:59:27+00:00,455.0,0.01,0.0,0.01,0.0,0.0,,2,1.875000625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.3979017320570055,0.0,1.1390796189457216e-05,-0.0,0.0
SPY250729P00460000,2025-07-18 15:55:44+00:00,460.0,0.01,0.0,0.01,0.0,0.0,,41,1.8125009374999999,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.3827071480129076,0.0,1.2036853318783755e-05,-0.0,0.0
SPY250729P00465000,2025-07-16 17:41:41+00:00,465.0,0.03,0.0,0.01,0.0,0.0,,5,1.78125109375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.3678393292170699,0.0,1.2699917745709524e-05,-0.0,0.0
SPY250729P00470000,2025-07-21 13:31:15+00:00,470.0,0.01,0.0,0.01,0.0,0.0,10.0,30,1.71875140625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.3532878469913563,0.0,1.3378822780546671e-05,-0.0,0.0
SPY250729P00485000,2025-07-18 14:39:37+00:00,485.0,0.01,0.0,0.01,0.0,0.0,,209,1.5625021874999998,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.3114335836823454,0.0,1.549684171715567e-05,-0.0,0.0
SPY250729P00490000,2025-07-21 19:47:43+00:00,490.0,0.01,0.0,0.01,0.0,0.0,31.0,255,1.5000025,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.298051608338648,0.0,1.6224689785014686e-05,-0.0,0.0
SPY250729P00500000,2025-07-18 13:32:28+00:00,500.0,0.03,0.0,0.01,0.0,0.0,,3,1.3750031249999999,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.272090576171875,0.0,1.770231115024407e-05,-0.0,0.0
SPY250729P00505000,2025-07-22 17:16:18+00:00,505.0,0.01,0.0,0.01,0.0,0.0,3010.0,3010,1.3437532812499997,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.2594956199721534,0.0,1.8448044327009135e-05,-0.0,0.0
SPY250729P00510000,2025-07-18 13:59:35+00:00,510.0,0.03,0.0,0.01,0.0,0.0,,1,1.2812535937499998,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.2471476236979167,0.0,1.919551418362997e-05,-0.0,0.0
SPY250729P00515000,2025-07-22 20:12:20+00:00,515.0,0.01,0.0,0.01,0.0,0.0,1.0,320,1.21875390625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.2350393943416262,0.0,1.9942436565360478e-05,-0.0,0.0
SPY250729P00520000,2025-07-22 14:19:02+00:00,520.0,0.01,0.0,0.01,0.0,0.0,1.0,2,1.1875040625,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.2231640155498797,0.0,2.0686439225083087e-05,-0.0,0.0
SPY250729P00525000,2025-07-23 15:19:03+00:00,525.0,0.01,0.0,0.01,0.0,0.0,2.0,154,1.125004375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.2115148344494047,0.0,2.1425073322929694e-05,-0.0,0.0
SPY250729P00530000,2025-07-24 19:58:11+00:00,530.0,0.01,0.0,0.01,0.0,0.0,11.0,2,1.0625046875000002,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.20008544921875,0.0,2.2155825965844135e-05,-0.0,0.0
SPY250729C00535000,2025-07-28 14:11:54+00:00,535.0,102.76,100.05,102.52,0.0,0.0,1.0,1,1.5292992285156248,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,101.285,2.469999999999999,0.024386631781606348,0,0.8411350732743971,1.0,2.28761337076628e-05,-0.0,0.0
SPY250729P00535000,2025-07-24 13:30:12+00:00,535.0,0.01,0.0,0.01,0.0,0.0,10.0,78,1.0312548437500002,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1888696973568926,0.0,2.28761337076628e-05,-0.0,0.0
SPY250729C00540000,2025-07-18 13:46:39+00:00,540.0,89.5,95.05,97.51,0.0,0.0,,2,1.453127734375,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,96.28,2.460000000000008,0.025550477773161693,0,0.8489961487255596,1.0,2.3583396916837648e-05,-0.0,0.0
SPY250729P00540000,2025-07-22 19:41:57+00:00,540.0,0.01,0.0,0.01,0.0,0.0,400.0,82,0.9687503125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1778616446035879,0.0,2.3583396916837648e-05,-0.0,0.0
SPY250729C00545000,2025-07-29 13:59:15+00:00,545.0,93.0,90.11,92.5,2.8799973,3.195736,1.0,1,1.4013701806640624,True,REGULAR,USD,C,2025-07-29,2025-07-29,SPY,636.0452880859375,91.305,2.3900000000000006,0.026176003504736874,0,0.8568572241767222,0.9771425860775926,2.4274994906159785e-05,-0.0,0.0
SPY250729P00545000,2025-07-24 14:22:26+00:00,545.0,0.02,0.0,0.01,0.0,0.0,2.0,186,0.9062509375,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.16705557446961,-0.02285741392240731,2.4274994906159785e-05,-0.0,0.0
SPY250729P00550000,2025-07-17 16:44:00+00:00,550.0,0.1,0.0,0.01,0.0,0.0,,15,0.87500125,False,REGULAR,USD,P,2025-07-29,2025-07-29,SPY,636.0452880859375,0.005,0.01,2.0,0,1.1564459783380683,-0.04906099875961595,2.494830170696543e-05,-0.0,0.0
