symbol,entry_date,exit_date,entry_price,exit_price,position_size,raw_return,confidence,velocity_score,position_value,entry_cost,exit_cost,total_costs,cost_pct,net_return,raw_pnl,net_pnl,cost_impact
SNOW,2023-01-01,2023-01-02,22.417272972985906,23.877170137962143,5000.0,0.06512376267780179,0.9175420211814656,0.28110418726284925,5000.0,17.5,17.5,35.0,0.007,0.05812376267780179,325.61881338900895,290.61881338900895,35.0
CRWD,2023-01-04,2023-01-05,96.49803215052619,97.46301247203145,5000.0,0.01,0.7918143241475427,0.06631675812410531,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
SNOW,2023-01-07,2023-01-09,74.40551652109009,73.6614613558792,5000.0,-0.01,0.9464336686658871,0.026617426033622826,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
SNOW,2023-01-10,2023-01-11,13.074070506981343,12.94332980191153,5000.0,-0.01,0.9492507399515848,0.74467096206207,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-01-13,2023-01-14,57.796483827452704,58.37444866572723,5000.0,0.01,0.8057742705184363,0.320572527956434,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-01-16,2023-01-20,73.45468615331932,76.69006802263544,5000.0,0.04404595593211067,0.9212648583756184,-0.1527869966044959,5000.0,17.5,17.5,35.0,0.007,0.03704595593211067,220.22977966055336,185.22977966055336,35.0
ESTC,2023-01-19,2023-01-20,29.599258352645275,30.21271843691341,5000.0,0.02072552213840559,0.9070681302227886,0.27038120754276584,5000.0,17.5,17.5,35.0,0.007,0.01372552213840559,103.62761069202794,68.62761069202794,35.0
PLTR,2023-01-22,2023-01-24,56.967610914830104,55.152572818018136,5000.0,-0.03186087792106212,0.8244565533123486,0.7042135079324454,5000.0,17.5,17.5,35.0,0.007,-0.03886087792106212,-159.3043896053106,-194.30438960531058,34.99999999999997
ESTC,2023-01-25,2023-01-26,105.97323533434269,108.83073753506602,5000.0,0.026964376351330525,0.9488914925221641,-0.5185195957162474,5000.0,17.5,17.5,35.0,0.007,0.019964376351330526,134.82188175665263,99.82188175665263,35.0
CRWD,2023-01-28,2023-02-01,64.21498762735362,63.06453757910126,5000.0,-0.01791560024785085,0.8487787430366869,-0.5138836652458739,5000.0,17.5,17.5,35.0,0.007,-0.02491560024785085,-89.57800123925426,-124.57800123925425,34.999999999999986
CRWD,2023-01-31,2023-02-04,78.90128387732966,79.69029671610296,5000.0,0.01,0.8116121583704778,0.06806436888783884,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-02-03,2023-02-06,62.38342780809495,63.0072620861759,5000.0,0.01,0.877266523637179,-0.3992610902310654,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
OKTA,2023-02-06,2023-02-08,47.686948717576875,47.21007923040111,5000.0,-0.01,0.9312197575437108,-0.10496901518331414,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
OKTA,2023-02-09,2023-02-10,60.234559244499316,60.836904836944306,5000.0,0.01,0.8790206724061129,0.2702784954609594,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-02-12,2023-02-13,68.77002043295019,68.08232022862069,5000.0,-0.01,0.8644008398418366,0.4296864228900945,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-02-15,2023-02-19,24.285273307511524,24.59379316346415,5000.0,0.012703989452620223,0.9489101021594681,-0.04808877761449126,5000.0,17.5,17.5,35.0,0.007,0.005703989452620223,63.519947263101116,28.519947263101116,35.0
CRWD,2023-02-18,2023-02-20,43.29611644022447,44.00149761336332,5000.0,0.01629201949585271,0.9406143694047906,-0.27079951252717815,5000.0,17.5,17.5,35.0,0.007,0.009292019495852712,81.46009747926355,46.46009747926356,34.99999999999999
NET,2023-02-21,2023-02-23,71.42001482276277,72.1342149709904,5000.0,0.01,0.8644584938341676,0.7685305339456732,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ZS,2023-02-24,2023-02-28,24.59618845794785,24.35022657336837,5000.0,-0.01,0.8036949713780314,-0.023552201157894914,5000.0,17.5,17.5,35.0,0.007,-0.017,-50.0,-85.0,35.0
CRWD,2023-02-27,2023-03-01,4.554583259424064,4.615321677229516,5000.0,0.013335669664129073,0.8289382933618944,0.5507410251620983,5000.0,17.5,17.5,35.0,0.007,0.006335669664129072,66.67834832064537,31.678348320645362,35.00000000000001
ESTC,2023-03-02,2023-03-05,23.48427691396601,25.217811191745746,5000.0,0.07381680449989968,0.8842287033648101,-0.2261651499261378,5000.0,17.5,17.5,35.0,0.007,0.06681680449989967,369.08402249949836,334.08402249949836,35.0
PLTR,2023-03-05,2023-03-08,54.61175317836584,55.157870710149496,5000.0,0.01,0.8090581176837878,-0.2839187772182392,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ESTC,2023-03-08,2023-03-12,82.49153729525831,83.3164526682109,5000.0,0.01,0.8605639953815816,-0.32558377016352247,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
PLTR,2023-03-11,2023-03-13,81.6140615610471,79.6831495410614,5000.0,-0.023659060498311076,0.8012413887188916,0.17842193738508882,5000.0,17.5,17.5,35.0,0.007,-0.030659060498311075,-118.29530249155538,-153.29530249155536,34.999999999999986
NET,2023-03-14,2023-03-18,65.45143058918144,66.10594489507325,5000.0,0.01,0.7888547907024084,-0.6864945328001157,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
ESTC,2023-03-17,2023-03-19,165.58194471964163,163.2217401102864,5000.0,-0.014253997399000662,0.7601537062078794,0.6185874383210559,5000.0,17.5,17.5,35.0,0.007,-0.021253997399000663,-71.26998699500331,-106.26998699500331,35.0
ZS,2023-03-20,2023-03-23,26.815243563872848,26.458563432740068,5000.0,-0.013301394420795816,0.8844052270590399,-0.2749557320404289,5000.0,17.5,17.5,35.0,0.007,-0.020301394420795815,-66.50697210397908,-101.50697210397908,35.0
ZS,2023-03-23,2023-03-25,42.895441797799734,43.32439621577773,5000.0,0.01,0.9463681776621062,0.5422936033109813,5000.0,17.5,17.5,35.0,0.007,0.003,50.0,15.0,35.0
DDOG,2023-03-26,2023-03-28,35.842044026317,36.57622504230507,5000.0,0.02048379315222646,0.8153302483592082,0.5245904060601418,5000.0,17.5,17.5,35.0,0.007,0.013483793152226461,102.4189657611323,67.41896576113231,34.999999999999986
